,country,fifa_rank,gdp_rank,population_rank,avg_age,elo_ranking,star_count,coach_performance,home_country_adv,home_continent_adv,% of player in foreign club,Previous_final,Previous_semi_final,last_best_performance,att,mid,def,ovr,spi,global_o,global_d,avg_players_appearance,avg_players_goal,Happiness.Rank
0,russia,70,60,9,28.1,1697,1,32,1,1,0.05,0,1,14,79,77,75,79,70.14205,1.94268,0.8043899999999999,28.52173913043478,2.4347826086956523,49
1,saudi arabia,67,37,47,28.7,1574,0,9,0,0,0.0,0,0,33,71,72,71,72,51.3338,1.47177,1.20177,34.30434782608695,3.9565217391304346,37
2,egypt,45,132,14,27.0,1659,1,15,0,0,0.58,0,0,51,75,77,74,76,62.46236,1.60808,0.85654,37.30434782608695,2.782608695652174,104
3,uruguay,14,45,133,28.7,1866,3,7,0,0,0.88,2,5,10,86,77,80,80,79.52363000000003,2.2853,0.62285,42.26086956521739,5.826086956521738,28
4,portugal,4,36,84,27.7,1995,3,5,0,0,0.71,0,2,24,88,83,82,84,83.46619,2.40348,0.50431,39.52173913043478,6.173913043478262,89
5,spain,10,31,28,28.0,2031,6,4,0,1,0.35,1,2,6,84,86,85,85,91.30254,3.2111400000000003,0.46145,42.21739130434783,4.565217391304348,34
6,morocco,41,125,40,27.2,1691,0,8,0,0,0.85,0,0,39,74,77,77,76,72.33079000000002,1.86875,0.65756,24.04347826086957,2.608695652173913,84
7,iran,37,92,17,26.5,1799,0,14,0,0,0.42,0,0,36,74,73,73,74,65.56769,1.60243,0.72717,30.52173913043478,4.739130434782608,108
8,france,7,24,21,26.4,1989,5,12,0,1,0.67,2,5,7,86,84,82,85,87.17681999999998,2.8858200000000003,0.56975,26.04347826086957,3.782608695652174,31
9,australia,36,10,56,26.9,1727,0,23,0,0,0.81,0,0,32,69,72,70,72,61.68548000000001,1.7923,1.04721,29.82608695652174,5.260869565217392,10
10,peru,11,84,43,27.0,1881,0,11,0,0,0.54,0,0,38,78,75,74,76,72.15616,1.97974,0.74528,34.08695652173913,4.130434782608695,63
11,denmark,12,9,116,26.1,1842,1,19,0,1,0.89,0,0,40,76,79,76,78,74.74844,2.13883,0.74455,26.56521739130435,2.8260869565217392,2
12,argentina,5,53,31,28.4,1984,4,3,0,0,0.84,5,5,4,86,82,81,84,87.41192,2.58581,0.39899,37.34782608695652,7.478260869565218,24
13,iceland,22,4,178,29.0,1811,0,10,0,1,1.0,0,0,77,75,78,74,75,67.07394000000001,1.92122,0.92018,40.04347826086956,3.5217391304347827,3
14,croatia,20,56,128,27.5,1856,3,30,0,0,1.0,0,1,34,81,82,78,80,80.38099,2.28947,0.58512,40.30434782608695,5.043478260869565,77
15,nigeria,48,139,7,24.9,1696,0,20,0,0,0.91,0,0,30,75,76,72,75,70.08336,1.81501,0.71082,25.608695652173914,2.4347826086956523,95
16,brazil,2,66,5,27.8,2114,4,2,0,0,0.8,7,11,1,87,85,84,86,92.81522,3.10876,0.30493000000000003,29.869565217391305,5.521739130434782,22
17,switzerland,6,2,98,26.6,1866,0,13,0,1,0.9,0,0,13,76,77,78,78,78.14180999999998,2.28471,0.68735,37.34782608695652,4.260869565217392,4
18,costa rica,23,58,123,29.0,1746,1,28,0,0,0.67,0,0,37,69,73,73,73,64.89752,1.73368,0.8612799999999999,51.34782608695652,5.0,12
19,serbia,34,89,102,27.7,1769,0,31,0,1,0.92,0,2,11,76,81,78,78,73.8232,2.08408,0.74737,25.956521739130434,2.8260869565217392,73
20,germany,1,17,19,25.7,2109,6,1,0,1,0.32,8,13,2,85,85,85,86,90.61094,3.23346,0.5222399999999999,41.08695652173913,6.913043478260869,16
21,mexico,15,70,11,27.4,1848,0,16,0,0,0.34,0,0,5,81,79,77,79,75.77906,2.16425,0.7156399999999999,60.30434782608695,9.0,25
22,sweden,24,11,91,27.4,1825,1,24,0,1,1.0,1,4,12,78,76,77,77,73.86757,2.05513,0.72496,31.30434782608696,3.1739130434782608,9
23,south korea,57,28,27,26.5,1760,1,25,0,0,0.59,0,1,15,71,74,70,73,60.1367,1.61593,0.95934,29.30434782608696,3.347826086956522,55
24,belgium,3,18,77,27.0,1927,5,21,0,1,0.92,0,1,9,85,83,83,83,85.40682,2.81096,0.63262,47.26086956521739,6.782608695652174,17
25,panama,55,51,131,29.4,1671,0,17,0,0,0.81,0,0,77,68,69,69,69,56.47272,1.45612,0.96652,58.47826086956522,6.304347826086956,30
26,tunisia,21,118,79,26.8,1624,0,26,0,0,0.41,0,0,35,73,72,72,73,59.59496,1.62315,0.98848,20.17391304347826,1.5652173913043481,102
27,england,21,22,22,25.9,1933,2,22,0,1,0.0,1,2,8,83,81,80,81,83.72824,2.34392,0.45752,20.956521739130434,2.565217391304348,19
28,poland,8,55,36,28.0,1842,2,18,0,1,0.77,0,2,22,83,78,78,80,73.28044,2.18065,0.84065,35.47826086956522,5.478260869565218,46
29,senegal,27,155,71,26.4,1752,1,29,0,0,0.97,0,0,54,77,77,76,76,65.96802,1.65995,0.75761,27.130434782608692,3.1739130434782608,115
30,columbia,16,85,29,27.3,1927,3,6,0,0,0.89,0,0,31,82,78,78,79,80.52894,2.1824,0.51246,31.0,3.9565217391304346,36
31,japan,61,25,10,27.5,1706,0,27,0,0,0.47,0,0,29,76,78,73,75,71.43255,2.06588,0.84009,45.0,7.086956521739131,51
